SEVERITY: Error
  GROUP: Connectivity
    drc-107 - [schematic: Turbot, component: $5I13] None of component input pins connected
    drc-114 - [schematic: Turbot, component: $23I254] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I268] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I282] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I294] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I307] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I359] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I373] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I386] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I398] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I411] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I503] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I555] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I567] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I591] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I604] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I654] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I666] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I678] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I717] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I743] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I779] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I792] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I805] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I819] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I831] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I858] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I870] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I882] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I919] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I991] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I1027] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I1039] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I1051] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I1075] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I1087] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I1101] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $23I1113] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I75] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I87] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I112] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I125] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I161] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I173] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I225] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I251] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I342] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I396] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I409] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I585] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I667] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $24I707] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $25I506] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $26I285] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $26I489] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $26I568] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $26I842] Dipole only connected to input pins
    drc-114 - [schematic: Turbot, component: $25I1269] Dipole only connected to input pins
SEVERITY: Warning
  GROUP: Connectivity
    drc-103 - [schematic: Turbot.25, net: $25N897] Net not connected to a load
    drc-103 - [schematic: Turbot.25, net: $25N901] Net not connected to a load
    drc-108 - [schematic: Turbot.13, net: M_MA_A4] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A30] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_CS_A_L0] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A52] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A6] dangling net segment
    drc-108 - [schematic: Turbot.4, net: DRAM_CORE_PWROK] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A3] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A29] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DM_A1] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A51] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A5] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A28] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A11] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A50] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A4] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A27] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DQS_A_N0] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A2] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A3] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A26] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A1] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A49] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A2] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DQS_A_P3] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A25] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_BS_A2] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A48] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DQS_A_N3] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A12] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A10] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A35] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DQS_A_P2] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A0] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A58] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DM_A7] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A9] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DM_A6] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A34] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DQS_A_N2] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A14] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A57] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A11] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A8] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A33] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DQS_A_P1] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A12] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A56] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DM_A5] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A10] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A32] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A7] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A55] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A9] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DM_A4] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A31] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A6] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A8] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A54] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DM_A3] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DQS_A_N6] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A19] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A53] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DM_A2] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A40] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_RAS_A_L] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DQS_A_P5] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A18] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DM_A0] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A63] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A17] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DQS_A_N5] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A62] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A16] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A39] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DQS_A_P4] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A13] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A61] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A15] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A38] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DQS_A_N4] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A60] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A14] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A1] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A37] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A13] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A24] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A36] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_BS_A1] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A47] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A59] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_CLK_A_N0] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_CLK_A_N0] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A23] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A46] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DQS_A_P7] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A22] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A45] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_MA_A5] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DQS_A_N7] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_BS_A0] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A21] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A0] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_CLK_A_P0] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_CLK_A_P0] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A44] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_WE_A_L] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DQS_A_P6] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_CAS_A_L] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A43] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A20] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_ODT_A0] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A42] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DQS_A_N1] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_CKE_A0] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DATA_A7] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_DATA_A41] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_DQS_A_P0] dangling net segment
    drc-108 - [schematic: Turbot.17, net: +V1P8A] dangling net segment
    drc-108 - [schematic: Turbot.6, net: SD3_WP] dangling net segment
    drc-108 - [schematic: Turbot.14, net: SD3_CD#] dangling net segment
    drc-108 - [schematic: Turbot.6, net: LPE_I2S_FRM] dangling net segment
    drc-108 - [schematic: Turbot.7, net: PMC_SLP_S4_L] dangling net segment
    drc-108 - [schematic: Turbot.7, net: RTCRST_L] dangling net segment
    drc-108 - [schematic: Turbot.7, net: PMC_SUSCLK0] dangling net segment
    drc-108 - [schematic: Turbot.7, net: PMC_PWRBTN] dangling net segment
    drc-108 - [schematic: Turbot.7, net: SUSCLK_3P3] dangling net segment
    drc-108 - [schematic: Turbot.7, net: PMC_SLP_S3_L] dangling net segment
    drc-108 - [schematic: Turbot.7, net: PMC_PCIE_WAKE_R] dangling net segment
    drc-108 - [schematic: Turbot.7, net: PMC_PLTRST_R_V1P8] dangling net segment
    drc-108 - [schematic: Turbot.12, net: SM_VREF_CA1_A] dangling net segment
    drc-108 - [schematic: Turbot.12, net: DDR_WP_A] dangling net segment
    drc-108 - [schematic: Turbot.12, net: SM_VREF_DQ1_A] dangling net segment
    drc-108 - [schematic: Turbot.12, net: M_A_RST_L] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_A_RST_L] dangling net segment
    drc-108 - [schematic: Turbot.13, net: SM_VREF_CA2_A] dangling net segment
    drc-108 - [schematic: Turbot.13, net: SM_VREF_DQ2_A] dangling net segment
    drc-108 - [schematic: Turbot.14, net: SD3_D0_R] dangling net segment
    drc-108 - [schematic: Turbot.14, net: SD3_D1_R] dangling net segment
    drc-108 - [schematic: Turbot.14, net: SD3_CLK_R] dangling net segment
    drc-108 - [schematic: Turbot.14, net: SD3_D3_R] dangling net segment
    drc-108 - [schematic: Turbot.14, net: SD3_D2_R] dangling net segment
    drc-108 - [schematic: Turbot.14, net: SD3_CMD_R] dangling net segment
    drc-108 - [schematic: Turbot.16, net: USB_HOST_OC1] dangling net segment
    drc-108 - [schematic: Turbot.16, net: USB_HOST_EN0] dangling net segment
    drc-108 - [schematic: Turbot.16, net: USB_HOST_EN1] dangling net segment
    drc-108 - [schematic: Turbot.16, net: USB_HOST_OC0] dangling net segment
    drc-108 - [schematic: Turbot.17, net: XDP_H_TDO] dangling net segment
    drc-108 - [schematic: Turbot.18, net: MDI_N0] dangling net segment
    drc-108 - [schematic: Turbot.18, net: MDI_N1] dangling net segment
    drc-108 - [schematic: Turbot.18, net: MDI_P1] dangling net segment
    drc-108 - [schematic: Turbot.18, net: ACTIVE-LED] dangling net segment
    drc-108 - [schematic: Turbot.18, net: AVDDREG] dangling net segment
    drc-108 - [schematic: Turbot.18, net: LED_LEFT] dangling net segment
    drc-108 - [schematic: Turbot.18, net: LED_RIGHT] dangling net segment
    drc-108 - [schematic: Turbot.18, net: MDI_N3] dangling net segment
    drc-108 - [schematic: Turbot.18, net: MDI_P3] dangling net segment
    drc-108 - [schematic: Turbot.18, net: LINK-GIGALED] dangling net segment
    drc-108 - [schematic: Turbot.18, net: MDI_P0] dangling net segment
    drc-108 - [schematic: Turbot.18, net: LINK-LED] dangling net segment
    drc-108 - [schematic: Turbot.18, net: MDI_P2] dangling net segment
    drc-108 - [schematic: Turbot.18, net: MDI_N2] dangling net segment
    drc-108 - [schematic: Turbot.18, net: VDD1.0] dangling net segment
    drc-108 - [schematic: Turbot.20, net: DDP_IO3L] dangling net segment
    drc-108 - [schematic: Turbot.22, net: +PS_3VSB_PG] dangling net segment
    drc-108 - [schematic: Turbot.22, net: +3VSB_EN_L] dangling net segment
    drc-108 - [schematic: Turbot.22, net: 5VSB_CTRL] dangling net segment
    drc-108 - [schematic: Turbot.23, net: GFX_PG] dangling net segment
    drc-108 - [schematic: Turbot.23, net: VCORE_PG] dangling net segment
    drc-108 - [schematic: Turbot.25, net: DDR_PHASE] dangling net segment
    drc-108 - [schematic: Turbot.26, net: 1P5V_EN_B] dangling net segment
    drc-108 - [schematic: Turbot.26, net: V1P0S_PG] dangling net segment
    drc-108 - [schematic: Turbot.26, net: 1P8V_EN] dangling net segment
    drc-108 - [schematic: Turbot.26, net: +V1P0A_PWRGD] dangling net segment
    drc-108 - [schematic: Turbot.6, net: $6N1213] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_CS_A_L2] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_CKE_A2] dangling net segment
    drc-108 - [schematic: Turbot.13, net: M_ODT_A2] dangling net segment
    drc-123 - [schematic: Turbot, net: SD3_WP] One pin net
    drc-123 - [schematic: Turbot, net: $6N1213] One pin net

116 Error(s), 181 Warning(s), 0 Note(s), 
